codigo,municipio,pib_mil_reais
2108405,Peri Mirim - MA,95936
2108454,Peritoró - MA,230427
2108504,Pindaré-Mirim - MA,296184
2108603,Pinheiro - MA,1039933
2108702,Pio XII - MA,191327
2108801,Pirapemas - MA,130764
2108900,Poção de Pedras - MA,163076
2109007,Porto Franco - MA,1026076
2109056,Porto Rico do Maranhão - MA,45856
2109106,Presidente Dutra - MA,755699
2109205,Presidente Juscelino - MA,84479
2109239,Presidente Médici - MA,60682
2109270,Presidente Sarney - MA,164968
2109304,Presidente Vargas - MA,76166
2109403,Primeira Cruz - MA,89083
2109452,Raposa - MA,286153
2109502,Riachão - MA,673197
2109551,Ribamar Fiquene - MA,124192
2109601,Rosário - MA,443176
2109700,Sambaíba - MA,474703
2109759,Santa Filomena do Maranhão - MA,60203
2109809,Santa Helena - MA,357951
2109908,Santa Inês - MA,1465933
2110005,Santa Luzia - MA,743420
2110039,Santa Luzia do Paruá - MA,253332
2110104,Santa Quitéria do Maranhão - MA,218445
2110203,Santa Rita - MA,354631
2110237,Santana do Maranhão - MA,74090
2110278,Santo Amaro do Maranhão - MA,95932
2110302,Santo Antônio dos Lopes - MA,3055535
2110401,São Benedito do Rio Preto - MA,143437
2110500,São Bento - MA,312160
2110609,São Bernardo - MA,281177
2110658,São Domingos do Azeitão - MA,320522
2110708,São Domingos do Maranhão - MA,355916
2110807,São Félix de Balsas - MA,86158
2110856,São Francisco do Brejão - MA,121253
2110906,São Francisco do Maranhão - MA,98973
2111003,São João Batista - MA,135595
2111029,São João do Carú - MA,123006
2111052,São João do Paraíso - MA,151458
2111078,São João do Soter - MA,156360
2111102,São João dos Patos - MA,340970
2111201,São José de Ribamar - MA,2293735
2111250,São José dos Basílios - MA,61940
2111300,São Luís - MA,36533730
2111409,São Luís Gonzaga do Maranhão - MA,170048
2111508,São Mateus do Maranhão - MA,429232
2111532,São Pedro da Água Branca - MA,127603
2111573,São Pedro dos Crentes - MA,83541
2111607,São Raimundo das Mangabeiras - MA,739621
2111631,São Raimundo do Doca Bezerra - MA,43955
2111672,São Roberto - MA,45766
2111706,São Vicente Ferrer - MA,145752
2111722,Satubinha - MA,93076
2111748,Senador Alexandre Costa - MA,101830
2111763,Senador La Rocque - MA,187130
2111789,Serrano do Maranhão - MA,72441
2111805,Sítio Novo - MA,221499
2111904,Sucupira do Norte - MA,126217
2111953,Sucupira do Riachão - MA,47999
2112001,Tasso Fragoso - MA,2351422
2112100,Timbiras - MA,196337
2112209,Timon - MA,2320671
2112233,Trizidela do Vale - MA,525500
2112274,Tufilândia - MA,60049
2112308,Tuntum - MA,365192
2112407,Turiaçu - MA,295916
2112456,Turilândia - MA,223067
2112506,Tutóia - MA,546155
2112605,Urbano Santos - MA,247485
2112704,Vargem Grande - MA,433473
2112803,Viana - MA,501710
2112852,Vila Nova dos Martírios - MA,156914
2112902,Vitória do Mearim - MA,318163
2113009,Vitorino Freire - MA,325509
2114007,Zé Doca - MA,567070
2200053,Acauã - PI,73623
2200103,Agricolândia - PI,47283
2200202,Água Branca - PI,244027
2200251,Alagoinha do Piauí - PI,65442
2200277,Alegrete do Piauí - PI,48184
2200301,Alto Longá - PI,130958
2200400,Altos - PI,538140
2200459,Alvorada do Gurguéia - PI,82125
2200509,Amarante - PI,192594
2200608,Angical do Piauí - PI,66749
2200707,Anísio de Abreu - PI,98552
2200806,Antônio Almeida - PI,140157
2200905,Aroazes - PI,57305
2200954,Aroeiras do Itaim - PI,24630
2201002,Arraial - PI,48922
2201051,Assunção do Piauí - PI,64266
2201101,Avelino Lopes - PI,97602
2201150,Baixa Grande do Ribeiro - PI,1768705
2201176,Barra D'Alcântara - PI,38963
2201200,Barras - PI,497742
2201309,Barreiras do Piauí - PI,163172
2201408,Barro Duro - PI,90192
2201507,Batalha - PI,250807
2201556,Bela Vista do Piauí - PI,46876
2201572,Belém do Piauí - PI,41264
2201606,Beneditinos - PI,91898
2201705,Bertolínia - PI,72471
2201739,Betânia do Piauí - PI,62570
2201770,Boa Hora - PI,62507
2201804,Bocaina - PI,47772
2201903,Bom Jesus - PI,1411005
2201919,Bom Princípio do Piauí - PI,70166
2201929,Bonfim do Piauí - PI,52945
2201945,Boqueirão do Piauí - PI,51725
2201960,Brasileira - PI,69325
2201988,Brejo do Piauí - PI,43979
2202000,Buriti dos Lopes - PI,214793
2202026,Buriti dos Montes - PI,69690
2202059,Cabeceiras do Piauí - PI,86140
2202075,Cajazeiras do Piauí - PI,34182
2202083,Cajueiro da Praia - PI,115379
2202091,Caldeirão Grande do Piauí - PI,195079
2202109,Campinas do Piauí - PI,57498
2202117,Campo Alegre do Fidalgo - PI,51328
2202133,Campo Grande do Piauí - PI,62139
2202174,Campo Largo do Piauí - PI,56554
2202208,Campo Maior - PI,706324
2202251,Canavieira - PI,41948
2202307,Canto do Buriti - PI,271402
2202406,Capitão de Campos - PI,106411
2202455,Capitão Gervásio Oliveira - PI,43672
2202505,Caracol - PI,97485
2202539,Caraúbas do Piauí - PI,57437
2202554,Caridade do Piauí - PI,50032
2202604,Castelo do Piauí - PI,202304
2202653,Caxingó - PI,53144
2202703,Cocal - PI,272775
2202711,Cocal de Telha - PI,46961
2202729,Cocal dos Alves - PI,56962
2202737,Coivaras - PI,37708
2202752,Colônia do Gurguéia - PI,70560
2202778,Colônia do Piauí - PI,68111
2202802,Conceição do Canindé - PI,60446
2202851,Coronel José Dias - PI,40770
2202901,Corrente - PI,680737
2203008,Cristalândia do Piauí - PI,75069
2203107,Cristino Castro - PI,121468
2203206,Curimatá - PI,140861
2203230,Currais - PI,409013
2203255,Curralinhos - PI,39660
2203271,Curral Novo do Piauí - PI,78414
2203305,Demerval Lobão - PI,215834
2203354,Dirceu Arcoverde - PI,67493
2203404,Dom Expedito Lopes - PI,78053
2203420,Domingos Mourão - PI,46532
2203453,Dom Inocêncio - PI,164347
2203503,Elesbão Veloso - PI,164745
2203602,Eliseu Martins - PI,55592
2203701,Esperantina - PI,456615
2203750,Fartura do Piauí - PI,46774
2203800,Flores do Piauí - PI,48120
2203859,Floresta do Piauí - PI,25258
2203909,Floriano - PI,1375704
2204006,Francinópolis - PI,44797
2204105,Francisco Ayres - PI,46763
2204154,Francisco Macedo - PI,30662
